2024-04-26 09:01:59.305721 ,205 ,60 ,15 ,  39.92
2024-04-26 09:02:40.905842 ,205 ,60 ,15 ,  39.92
2024-04-26 09:03:17.242888 ,250 ,65 ,20 ,  85.57
2024-04-26 09:03:59.622393 ,185 ,75 ,18 ,  48.06
2024-04-26 09:04:11.098525 ,300 ,17 ,20 ,  26.87
2024-04-26 09:04:26.192401 ,280 ,70 ,25 , 143.27
2024-04-26 09:04:43.995634 ,280 ,70 ,25 , 143.27
2024-04-26 09:05:16.110645 ,100 ,50 ,16 ,   7.17
2024-04-26 09:07:45.581854 ,600 ,20 , 5 ,  55.87
2024-04-26 09:08:28.409841 ,705 ,70 ,25 ,1233.47
2024-04-26 09:11:52.934796, 705, 70, 25, 1233.47
